rel	final_cat	source	evidence
Package.swift	2	round1	Package.swift @ ee9b4f0 | Renames throughout plus GhosttyKit binary target dropped; package skeleton preserved.
Sources/Nehir/App/AppBootstrapPlanner.swift	1	round1	Sources/OmniWM/App/AppBootstrapPlanner.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/App/AppCLIManager.swift	1	round1	Sources/OmniWM/App/AppCLIManager.swift @ ee9b4f0 | Only SPDX header plus OmniWM->Nehir and omniwmctl->nehirctl renames.
Sources/Nehir/App/AppDelegate.swift	3	round1	Sources/OmniWM/App/AppDelegate.swift @ ee9b4f0 | Rewritten: onboarding/config-recovery added, updater and hidden-bar removed, tracing toggle.
Sources/Nehir/App/OwnedWindowRegistry.swift	1	round1	Sources/OmniWM/App/OwnedWindowRegistry.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Config/AppRule.swift	2	round1	Sources/OmniWM/Core/Config/AppRule.swift @ ee9b4f0 | Removed legacy .off case, alwaysFloat field, manual Codable; structure preserved.
Sources/Nehir/Core/Config/AppRuleFileStore.swift	5	round1+confirmed	R2: origin -S/grep 'AppRuleFileStore','writeInactiveSamples','apprules.d','pip-floating' all empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/AppearanceMode.swift	2	round1	Sources/OmniWM/Core/Config/AppearanceMode.swift @ ee9b4f0 | Added AppearanceModeApplier injectable test seam; enum unchanged.
Sources/Nehir/Core/Config/BuiltInSettingsDefaults.swift	3	round1	Sources/OmniWM/Core/Config/BuiltInSettingsDefaults.swift @ ee9b4f0 | Most content changed: app rules and niri layout assignments removed, snap fractions changed.
Sources/Nehir/Core/Config/CanonicalTOMLConfig.swift	3	round1	Sources/OmniWM/Core/Config/CanonicalTOMLConfig.swift @ ee9b4f0 | Schema heavily rewritten; ~584 add/~537 del, most lines changed.
Sources/Nehir/Core/Config/ConfigAssistancePrompt.swift	5	round1+confirmed	R2: origin -S/grep 'ConfigAssistancePrompt','AssistanceKind','enforcedMigration' all empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/ConfigMismatchDetector.swift	5	round1+confirmed	R2: origin -S/grep 'detectUnknownKeys','detectConfigMismatches','cleanUnknownSettingsKeys' all empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/GestureFingerCount.swift	1	round1	Sources/OmniWM/Core/Config/GestureFingerCount.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Config/HotkeyConfigMapping.swift	5	round1+confirmed	R2: origin grep 'HotkeyConfigMapping','numberedGroups' empty; 'focusWorkspaceAnywhere' hit is upstream HotkeyCommand enum case, not the mapping -> clean
Sources/Nehir/Core/Config/HotkeysTOMLCodec.swift	5	round1+confirmed	R2: origin -S/grep 'HotkeysTOMLCodec','detectDigitPattern','emitNumberedGroup' all empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/MonitorBarSettings.swift	2	round1	Sources/OmniWM/Core/Config/MonitorBarSettings.swift @ ee9b4f0 | Added monitorAnchorPoint and showTraceButton fields plus defaults.
